ts_iso,target,rtt_ms
2026-03-18T17:45:00.075433+00:00,1.1.1.1,13.7
2026-03-18T17:45:00.276311+00:00,1.1.1.1,13.6
2026-03-18T17:45:00.477211+00:00,1.1.1.1,13.6
2026-03-18T17:45:00.678971+00:00,1.1.1.1,14.5
2026-03-18T17:45:00.878843+00:00,1.1.1.1,13.6
2026-03-18T17:45:01.079673+00:00,1.1.1.1,13.6
2026-03-18T17:45:01.280526+00:00,1.1.1.1,13.6
2026-03-18T17:45:01.481331+00:00,1.1.1.1,13.5
2026-03-18T17:45:01.682122+00:00,1.1.1.1,13.6
2026-03-18T17:45:01.882892+00:00,1.1.1.1,13.5
2026-03-18T17:45:02.083666+00:00,1.1.1.1,13.5
2026-03-18T17:45:02.284565+00:00,1.1.1.1,13.6
2026-03-18T17:45:02.485463+00:00,1.1.1.1,13.6
2026-03-18T17:45:02.686181+00:00,1.1.1.1,13.5
2026-03-18T17:45:02.886768+00:00,1.1.1.1,13.3
2026-03-18T17:45:03.087632+00:00,1.1.1.1,13.6
2026-03-18T17:45:03.289196+00:00,1.1.1.1,14.3
2026-03-18T17:45:03.489027+00:00,1.1.1.1,13.6
2026-03-18T17:45:03.690034+00:00,1.1.1.1,13.8
2026-03-18T17:45:03.890990+00:00,1.1.1.1,13.7
2026-03-18T17:45:04.092071+00:00,1.1.1.1,13.8
2026-03-18T17:45:04.292889+00:00,1.1.1.1,13.6
2026-03-18T17:45:04.493705+00:00,1.1.1.1,13.6
2026-03-18T17:45:04.694542+00:00,1.1.1.1,13.5
2026-03-18T17:45:04.895532+00:00,1.1.1.1,13.8
2026-03-18T17:45:05.096538+00:00,1.1.1.1,13.7
2026-03-18T17:45:05.297341+00:00,1.1.1.1,13.6
2026-03-18T17:45:05.498228+00:00,1.1.1.1,13.6
2026-03-18T17:45:05.699217+00:00,1.1.1.1,13.7
2026-03-18T17:45:05.902449+00:00,1.1.1.1,15.9
2026-03-18T17:45:06.101289+00:00,1.1.1.1,13.6
2026-03-18T17:45:06.302179+00:00,1.1.1.1,13.6
2026-03-18T17:45:06.502975+00:00,1.1.1.1,13.5
2026-03-18T17:45:06.703828+00:00,1.1.1.1,13.6
2026-03-18T17:45:06.904638+00:00,1.1.1.1,13.5
2026-03-18T17:45:07.105333+00:00,1.1.1.1,13.5
2026-03-18T17:45:07.306409+00:00,1.1.1.1,13.8
2026-03-18T17:45:07.507620+00:00,1.1.1.1,14.0
2026-03-18T17:45:07.707521+00:00,1.1.1.1,13.6
2026-03-18T17:45:07.908126+00:00,1.1.1.1,13.4
2026-03-18T17:45:08.109090+00:00,1.1.1.1,13.7
2026-03-18T17:45:08.310700+00:00,1.1.1.1,13.6
2026-03-18T17:45:08.511796+00:00,1.1.1.1,13.8
2026-03-18T17:45:08.713384+00:00,1.1.1.1,14.0
2026-03-18T17:45:08.913538+00:00,1.1.1.1,13.5
